transaction_id,transaction_date,merchant_id,merchant_name,account_manager,merchant_category,gateway_region,payment_method,user_id,raw_amount,currency,amount_usd,status,risk_score,high_value_flag,high_risk_flag
T001,2026-03-01,M001,Alpha Mart,Aisha Khan,Grocery,APAC,UPI,U001,420000.0,INR,4998.0,captured,62.0,0,0
T002,2026-03-01,M001,Alpha Mart,Aisha Khan,Grocery,APAC,Card,U002,210000.0,INR,2499.0,captured,55.0,0,0
T003,2026-03-01,M002,Beta Stores,Rohan Mehta,Electronics,APAC,NetBanking,U003,510000.0,INR,6069.0,captured,71.0,1,1
T004,2026-03-02,M002,Beta Stores,Rohan Mehta,Electronics,APAC,Card,U004,160000.0,INR,1920.0,failed,68.0,0,0
T005,2026-03-02,M001,Alpha Mart,Aisha Khan,Grocery,APAC,UPI,U001,390000.0,INR,4680.0,captured,58.0,0,0
T006,2026-03-02,M002,Beta Stores,Rohan Mehta,Electronics,APAC,Wallet,U005,275000.0,INR,3300.0,captured,64.0,0,0
T007,2026-03-02,M001,Alpha Mart,Aisha Khan,Grocery,APAC,Card,U006,450000.0,INR,5400.0,chargeback,83.0,1,1
T008,2026-03-03,M002,Beta Stores,Rohan Mehta,Electronics,APAC,UPI,U007,340000.0,INR,4114.0,captured,59.0,0,0
T009,2026-03-03,M001,Alpha Mart,Aisha Khan,Grocery,APAC,Wallet,U002,125000.0,INR,1512.5,captured,46.0,0,0
T010,2026-03-03,M002,Beta Stores,Rohan Mehta,Electronics,APAC,Card,U003,610000.0,INR,7381.0,captured,77.0,1,1
T011,2026-03-03,M001,Alpha Mart,Aisha Khan,Grocery,APAC,UPI,U008,195000.0,INR,2359.5,failed,,0,0
T012,2026-03-04,M002,Beta Stores,Rohan Mehta,Electronics,APAC,Card,U009,250000.0,INR,3000.0,captured,61.0,0,0
T013,2026-03-04,M001,Alpha Mart,Aisha Khan,Grocery,APAC,UPI,U010,310000.0,INR,3720.0,captured,54.0,0,0
T014,2026-03-04,M002,Beta Stores,Rohan Mehta,Electronics,APAC,NetBanking,U001,470000.0,INR,5640.0,captured,73.0,1,1
T015,2026-03-04,M001,Alpha Mart,Aisha Khan,Grocery,APAC,Card,U002,130000.0,INR,1560.0,captured,52.0,0,0
T016,2026-03-05,M002,Beta Stores,Rohan Mehta,Electronics,APAC,Card,U008,220000.0,INR,2596.0,failed,69.0,0,0
T017,2026-03-05,M002,Beta Stores,Rohan Mehta,Electronics,APAC,Card,U008,180000.0,INR,2124.0,failed,72.0,0,1
T018,2026-03-05,M002,Beta Stores,Rohan Mehta,Electronics,APAC,UPI,U008,145000.0,INR,1711.0,chargeback,86.0,0,1
T019,2026-03-05,M001,Alpha Mart,Aisha Khan,Grocery,APAC,Wallet,U008,260000.0,INR,3068.0,failed,67.0,0,0
T020,2026-03-05,M001,Alpha Mart,Aisha Khan,Grocery,APAC,UPI,U005,520000.0,INR,6136.0,captured,75.0,1,1
T021,2026-03-06,M002,Beta Stores,Rohan Mehta,Electronics,APAC,Card,U006,330000.0,INR,3927.0,captured,63.0,0,0
T022,2026-03-06,M001,Alpha Mart,Aisha Khan,Grocery,APAC,UPI,U007,410000.0,INR,4879.0,captured,60.0,0,0
T023,2026-03-01,M003,City Pharma,Elena Rossi,Healthcare,EU,Card,U003,5200.0,EUR,5616.0,captured,42.0,0,0
T024,2026-03-02,M005,Eco Home,Nina Weber,Home,EU,Card,U004,6100.0,EUR,6649.0,chargeback,65.0,1,1
T025,2026-03-03,M003,City Pharma,Elena Rossi,Healthcare,EU,Wallet,U005,2800.0,EUR,3024.0,captured,38.0,0,0
T026,2026-03-05,M005,Eco Home,Nina Weber,Home,EU,NetBanking,U006,3300.0,EUR,3597.0,failed,44.0,0,0
T027,2026-03-01,M004,Delta Travels,Marcus Lee,Travel,US,Card,U007,7200.0,USD,7200.0,captured,49.0,1,0
T028,2026-03-02,M004,Delta Travels,Marcus Lee,Travel,US,Card,U008,3100.0,USD,3100.0,captured,41.0,0,0
T029,2026-03-04,M004,Delta Travels,Marcus Lee,Travel,US,Wallet,U009,2500.0,USD,2500.0,chargeback,58.0,0,1
T030,2026-03-06,M004,Delta Travels,Marcus Lee,Travel,US,UPI,U010,1800.0,USD,1800.0,failed,47.0,0,0
